업적ID,카테고리,업적명,설명,목표 조건,목표 횟수,보상(트로피),선행업적,업적 초기 상태
A1001,참가,첫 무대,첫 경기에 참가,경기참가,1,브론즈,null,Unlocked
A1002,참가,무대 적응,경기 7회 참가,경기참가,7,브론즈,A1001,Locked
A1003,참가,스무 번의 경험,경기 20회 참가,경기참가,20,브론즈,A1002,Locked
A2001,승리,첫 승리!,첫 경기에서 승리하라,우승,1,브론즈,null,Unlocked
A2002,승리,아홉 번의 우승,경기 9회 승리,우승,9,브론즈,A2001,Locked
A2003,승리,서른 번의 우승,경기 30회 승리,우승,30,브론즈,A2002,Locked
A3001,훈련,꾸준한 땀방울,훈련 3회 완료,훈련진행,3,브론즈,null,Unlocked
A3002,훈련,두 자릿수 돌파,훈련 12회 완료,훈련진행,12,브론즈,A3001,Locked
A4001,회복,작은 재충전,회복 3회 완료,회복진행,3,브론즈,null,Unlocked
A4002,회복,지친 몸 돌보기,회복 9회 완료,회복진행,9,브론즈,A4001,Locked
A5001,특훈,첫 특훈!,첫 특훈을 완료하라,특훈진행,1,브론즈,null,Unlocked
A7001,시설강화,휴게실 Lv.1 강화,휴게실을 1단계 강화하라,휴게실업그레이드,1,브론즈,null,Unlocked
A7011,시설강화,스카우트 센터 Lv.1,스카우트 센터를 1단계 강화하라,스카우트센터업그레이드,1,브론즈,null,Unlocked
A7021,시설강화,훈련 센터 Lv.1,훈련 센터를 1단계 강화하라,훈련센터업그레이드,1,브론즈,null,Unlocked
A7031,시설강화,의료 센터 Lv.1,의료 센터를 1단계 강화하라,의료센터업그레이드,1,브론즈,null,Unlocked
A7041,시설강화,숙소 Lv.1,숙소를 1단계 강화하라,숙소업그레이드,1,브론즈,null,Unlocked
A8001,선수영입,첫 영입!,첫 선수를 영입하라,선수영입,1,브론즈,null,Unlocked
A8002,선수영입,전력 보강,선수를 5명 영입하라,선수영입,5,실버,A8001,Locked
A9001,코치영입,지도자의 길,은퇴 후 코치가 된 선수 1명 보유,선출코치영입,1,골드,null,Unlocked
A11001,은퇴,작별의 순간,선수를 3명 은퇴시킴,선수은퇴,3,브론즈,null,Unlocked
